track_id,artists,album_name,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,calm,energetic,happy,sad,dark,romantic,focus,hype
4s4N935Z4XgvEmmIaZE83e,Turma do Pagode,Misturadin (Ao Vivo),Duas Paixões / Shortinho Saint-Tropez - Ao Vivo,0.625,0.782,-8.933,0.0347,0.804,0.0,0.87,0.963,83.989,0.624699,0.653912,0.945799,0.251575,0.374598,0.852659,0.256445,0.801391
0Qs67RelQ1FHAPkVBUoTDu,Anupam Roy,Pari,Meri Khamoshi Hai,0.535,0.285,-14.143,0.0307,0.836,0.00572,0.118,0.206,92.033,0.868058,0.670147,0.358461,0.893001,0.651920,0.805067,0.664671,0.205005
3CKstYFeiGJMGgRpHWbUGE,Jon Hopkins,Monsters (Original Motion Picture Soundtrack),Monsters Theme,0.161,0.296,-17.388,0.0381,0.709,0.917,0.111,0.0795,109.055,0.769526,0.492287,0.088420,0.935839,0.696613,0.612191,0.931830,0.210787
6TA5aymvVrtiPVbuAwmPIc,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Scary Love,0.595,0.636,-5.981,0.0312,9.45e-05,0.0529,0.196,0.147,112.008,0.173163,0.821115,0.484501,0.316620,0.972064,0.140227,0.597668,0.791405
7DakGWtWA6lU53HvQi96pz,Jacky Cheung;Regine Velasquez,Best of OPM Love Duets & Best of OPM Classic Love Songs,In Love With You,0.483,0.438,-7.071,0.0248,0.204,0.0,0.0863,0.154,71.003,0.478762,0.513203,0.286673,0.907020,0.806057,0.523011,0.756104,0.859804
0gsPInjPU6qsGGdLnpgTHD,Danny Olson;yetep;Easae,Melting (feat. EASAE),Melting (feat. EASAE),0.159,0.589,-6.176,0.0599,0.0708,0.00191,0.106,0.152,74.92,0.362568,0.590125,0.353750,0.623153,0.828179,0.189556,0.314359,0.356662
7GkCm4wRDhB0WhyOovlLfm,Years & Years,Fiesta de disfraces vol. II,Shine,0.667,0.717,-5.21,0.0349,0.193,0.0,0.104,0.495,108.006,0.329346,0.759791,0.769595,0.295462,0.869020,0.437872,0.313277,0.610241
4wggh6q31rr0AVSt0sKATQ,Babyboomboom,English and French,Twinkle Twinkle Little Star (Petite Etoile),0.66,0.183,-14.816,0.0328,0.928,0.0,0.128,0.426,110.353,0.901788,0.435906,0.260906,0.912135,0.583319,0.856820,0.809897,0.248490
45353YQKFRGxmQP3XXE8sw,Tori Amos,Christmas Songs 2022,Christmastide,0.666,0.38,-13.067,0.0324,0.826,5.1e-05,0.101,0.282,115.94,0.801348,0.713005,0.567692,0.814521,0.687821,0.690720,0.700612,0.431027
7B0r4rRL37jsjGFualPIyF,Mazzy Star,Christmas Vibes But Not Christmas Songs,Flowers In December,0.59,0.229,-13.174,0.0301,0.115,0.00168,0.0854,0.168,96.859,0.375571,0.521236,0.412356,0.672983,0.761548,0.418555,0.665007,0.549094
1wHWjFbNHj5oz1OQ1QIgVx,Mollono.Bass;Ava Asante,Von Wustrow nach Paris,Here We Go Again Mamazita,0.837,0.415,-11.378,0.362,0.0268,0.792,0.0693,0.811,125.998,0.337226,0.726984,0.885147,0.177925,0.783966,0.364371,0.785566,0.687495
0dqVUKU24tmq8s99jvb7aw,Mark Benson,Piano Favorites 1,Careless Whisper - Piano Version,0.598,0.0671,-23.9,0.0422,0.989,0.948,0.1,0.191,72.023,0.970736,0.251458,0.098025,0.956883,0.450635,0.893251,0.991005,0.153801
2tB9EXMGGzvRdxxwyzIJCC,sadeyes,don't cry,don't cry,0.789,0.685,-10.596,0.914,0.635,0.0,0.0843,0.533,160.04,0.601555,0.811152,0.690524,0.509852,0.750198,0.576600,0.363782,0.867740
7bDVcyCsENX57qgjk2twzU,Hanoi Rocks,Two Steps From The Move,Up Around The Bend,0.464,0.927,-4.514,0.0697,0.00677,2.71e-06,0.366,0.718,140.108,0.067304,0.922506,0.900721,0.089418,0.850521,0.173894,0.370511,0.822609
4JQ47NNAe3KNfx905OxkES,BOØWY,GIGS at BUDOKAN BEAT EMOTION ROCK'N ROLL CIRCUS TOUR 1986.11.11~1987.2.24 (Live),ホンキー・トンキー・クレイジー - Live,0.389,0.963,-3.843,0.079,0.00536,0.423,0.388,0.804,109.875,0.121826,0.771014,0.862250,0.116186,0.834508,0.189913,0.494332,0.852345
1Rt5ZnOyilt6tx1RQQnQsB,Seringai,Taring,Dilarang Di Bandung,0.587,0.898,-3.781,0.0804,2.26e-05,0.000572,0.0887,0.405,132.499,0.141446,0.889151,0.683727,0.351780,0.918493,0.137534,0.378237,0.915626
7wKwX3QFmx3icbH7iKVPe4,Kabir Cafe,Panchrang,Matkar Maya Ko Ahankar,0.796,0.517,-6.289,0.0257,0.613,1.28e-05,0.138,0.614,107.475,0.570654,0.751964,0.823633,0.341536,0.442159,0.633049,0.493099,0.648206
3ru9fQE0kYFWklLiyi8kKe,ILLENIUM;Spiritbox,Rock Brandneu,Shivering,0.428,0.907,-3.063,0.163,0.00594,1.71e-06,0.129,0.244,149.955,0.068388,0.912506,0.575690,0.549714,0.959317,0.139957,0.231920,0.824733
221pCE9l0ttyQJp8nEW51U,Arsames,Immortal Identity,Xerxes,0.281,0.984,-3.925,0.126,5.44e-06,0.699,0.142,0.346,113.315,0.130495,0.841761,0.725753,0.237056,0.975440,0.110597,0.790036,0.782937
0QmJSvcKBUsthT3qSjaxC9,Jorge Aragão,Ao vivo,Alvará - Ao vivo,0.504,0.78,-10.364,0.0352,0.763,0.336,0.919,0.586,96.065,0.416778,0.861155,0.669009,0.530263,0.656521,0.789683,0.637241,0.861258
2xawhXN7xO01JqhSoaKCIW,Sofiane;Sifax,La Direction,Bout de papier,0.857,0.621,-5.302,0.298,0.305,0.0,0.139,0.414,129.872,0.301173,0.839113,0.732003,0.510529,0.756142,0.190400,0.306415,0.580200
6ZTPEPVKQxtZmFOLrdOR39,Flamingokvintetten,Flamingokvintetten 5,Nu är det lördag igen,0.69,0.623,-6.054,0.0316,0.143,0.0,0.0892,0.971,124.235,0.185345,0.832195,0.968220,0.170577,0.608705,0.440726,0.570803,0.873761
5fomS2mZjvxxJ2iVH3fosc,John Elliott,All Too Well (Jake's Version),All Too Well - Jake's Version,0.685,0.483,-9.082,0.0253,0.0772,6.09e-05,0.113,0.331,93.032,0.431543,0.607685,0.629730,0.628556,0.860618,0.208806,0.682710,0.645869
6r9Ice11we6LCIRKtq9SWc,Anupam Roy,Brishti Theme Gele,Brishti Theme Gele,0.751,0.595,-5.649,0.0361,0.309,0.0,0.0899,0.34,119.967,0.292167,0.922095,0.808577,0.579956,0.814683,0.532006,0.452045,0.791612
5JvsxPAHsGxwNq4xto2HtM,Roxette,Look Sharp! (Extended Version),Listen To Your Heart,0.539,0.583,-4.935,0.0275,0.108,0.0,0.111,0.337,86.063,0.126683,0.774123,0.597672,0.584977,0.844011,0.200114,0.529740,0.511296
4iSWQ5Eadn5tZvvG9XNzYN,Charly Black,You're Perfect,You're Perfect,0.817,0.855,-3.282,0.244,0.318,0.0,0.0517,0.783,104.909,0.300728,0.924838,0.787013,0.226869,0.796152,0.481232,0.506130,0.884490
38h5gL20FSZ9jBuhHuSOBe,James Blunt,Merry Christmas,Wisemen,0.635,0.701,-5.969,0.0268,0.253,4.91e-05,0.165,0.633,151.894,0.176135,0.925441,0.839581,0.219485,0.652675,0.344957,0.450699,0.617257
1aDW8ixWyS9YIyapp5JYLu,Nusrat Fateh Ali Khan,"The Best of Shahenshah-E-Qawwali, Vol. 1",Yeh Jo Halka Saroor Hae,0.353,0.808,-4.989,0.0898,0.406,3.27e-06,0.392,0.491,73.713,0.269644,0.653470,0.534656,0.306979,0.900488,0.473922,0.282517,0.731502
2AilQKeh6r7vWk29OvrrzU,12 Stones,Anthem For The Underdog (Bonus Track Version),This Dark Day,0.229,0.864,-3.935,0.075,0.00371,0.0,0.315,0.48,172.129,0.064090,0.862243,0.868408,0.365514,0.873220,0.067582,0.352232,0.846226
7cTmN2Xe67zAInUHw67IVD,Bekar,Avalanche,Avalanche,0.808,0.615,-8.207,0.306,0.164,0.0,0.11,0.412,123.148,0.208939,0.785254,0.808239,0.378939,0.887840,0.365175,0.317545,0.843068
71AO7E6sxSNZIPPAxREWco,Kim Petras,Halloween & Alternative,There Will Be Blood,0.563,0.879,-4.735,0.0907,0.00125,1.76e-05,0.166,0.602,107.013,0.133691,0.883689,0.855412,0.222947,0.839704,0.418114,0.410945,0.811566
6iT8cVghfrFncA3G94mmyU,Abandoned;GalaxyTones;DNAKM,Luna,Luna,0.528,0.706,-7.784,0.0521,0.519,0.0967,0.139,0.245,127.934,0.172997,0.804195,0.636234,0.795719,0.832856,0.280793,0.484594,0.636890
1pqpkSuA7d2MGTnVm9eAe6,Broilers,Vanitas,Held in unserer Mitte,0.537,0.915,-3.116,0.237,0.00342,0.0,0.108,0.741,176.076,0.071940,0.943672,0.932703,0.130299,0.892989,0.229059,0.507370,0.887516
4gWTBq5Jftq5CEKYpLXD8R,Daughtry,Leave This Town,Life After You,0.434,0.764,-3.45,0.0299,0.0534,0.0,0.437,0.309,51.316,0.556205,0.615812,0.560345,0.308194,0.875178,0.199156,0.291827,0.703053
4jTOtzBVizcVcgwVq6bzpy,Barbara Tucker;Tuccillo;Crazibiza,One Desire (Remixes),One Desire - Crazibiza Remix,0.779,0.864,-6.659,0.0454,0.0224,0.0035,0.392,0.732,124.005,0.089803,0.837198,0.955411,0.146111,0.837191,0.509437,0.308064,0.854204
66YUHByAhvckqMtO9EkJ1J,Miriam Yeung,Miriam,野孩子,0.624,0.375,-8.522,0.0505,0.751,0.0,0.323,0.521,120.06,0.647844,0.659808,0.432862,0.645482,0.612154,0.746139,0.686936,0.593306
0KNUb4xONAX9MaY6DdpUvn,Almafuerte,Mundo Guanaco,Sentir Indiano,0.503,0.69,-6.43,0.0287,0.000443,0.0,0.224,0.451,89.032,0.121166,0.814555,0.660020,0.363523,0.785968,0.287240,0.466052,0.726506
0bqYvGR4vP2KstdMyemKYI,Terence Lam,doodoodoo,doodoodoo,0.647,0.505,-10.802,0.0536,0.677,0.0,0.0971,0.502,76.476,0.811207,0.671317,0.561172,0.613729,0.682048,0.608469,0.516663,0.446949
06WUUNf7q18NZfjIsQFsfa,Slayer,Repentless,Delusions of Saviour,0.223,0.805,-8.969,0.037,0.000179,0.814,0.0849,0.25,168.165,0.119692,0.897810,0.678378,0.367148,0.882083,0.085452,0.898616,0.873572
70gH8QPgnDh6fc6omPRlKY,The Wiseguys,The Antidote,Search's End,0.722,0.804,-9.63,0.055,0.052,0.228,0.315,0.748,99.458,0.194598,0.946994,0.906529,0.115957,0.807052,0.319464,0.555502,0.801287
0FR7dm7MDijFi8QQyrzp2E,Eduardo Falú,Volumen 1,Zamba de la candelaria,0.475,0.284,-13.63,0.0389,0.954,0.00139,0.268,0.481,98.856,0.837352,0.331336,0.492709,0.883886,0.310362,0.829620,0.807756,0.555855
6IDDwI0YOCAUDhMZltQekS,The Fray,Helios,Love Don't Die,0.632,0.805,-4.488,0.0303,0.0095,0.0,0.197,0.275,115.489,0.167681,0.840821,0.758455,0.378189,0.932186,0.109210,0.565425,0.771777
0ooea8ptVQNZehNygA91ng,OUTROEU,Nós Dois,Nós Dois,0.698,0.78,-5.696,0.0262,0.0187,0.00109,0.255,0.794,132.021,0.116342,0.920030,0.896932,0.083163,0.894667,0.277403,0.227802,0.822842
6q8AvEr7oG3tgmmtI6O2uS,Little Gerhard,16 Svenska originalklassiker,Den siste mohikanen,0.595,0.804,-4.511,0.0377,0.48,0.0,0.173,0.924,131.655,0.251023,0.915616,0.932765,0.102539,0.418333,0.578631,0.585580,0.875788
4ZRvNs46kXBjKJOl74tKZm,Yuki Hayashi,TVアニメ『ハイキュー!! 烏野高校 V S白鳥沢学園高校』オリジナル・サウンドトラック,コンセプトの戦い,0.423,0.961,-4.312,0.0617,3.78e-05,0.892,0.116,0.419,94.992,0.065696,0.867486,0.871648,0.444942,0.862375,0.350467,0.773864,0.829518
6zTO2fJwrZAYZGGi1DjD3g,Seu Jorge,"Musicas para Churrasco, Vol.1 (Ao Vivo) (Delux Edition)",A Doida (Ao Vivo),0.697,0.961,-5.473,0.0383,0.262,0.000309,0.332,0.853,107.97,0.159832,0.853950,0.961850,0.114271,0.802318,0.425670,0.369912,0.893011
6Gr1HvfczoBc3mjeH5q8zs,BALLISTIK BOYZ from EXILE TRIBE,PASS THE MIC,Life Is Party,0.705,0.904,-2.329,0.0373,0.0422,0.0,0.256,0.67,109.972,0.223638,0.878675,0.814282,0.210012,0.921221,0.126347,0.499540,0.830911
0QimL0uyitpZLjSDbqZVfY,Jody Chiang,"台灣民謠, Vol. 3",雪梅思君,0.473,0.514,-8.478,0.1,0.505,0.0,0.0815,0.698,201.393,0.359363,0.882244,0.822613,0.441560,0.678475,0.391121,0.711739,0.795327
4UsNNKzfrPBp3np4Eiznat,Kumar Gandharva,Dev Deenaghari Dhavala -Drama,Uthi Uthi Gopala,0.576,0.274,-14.045,0.0297,0.953,0.000167,0.267,0.46,93.754,0.863615,0.480910,0.351491,0.823143,0.406038,0.930130,0.822819,0.300590
5PqVZR35eth8PUnbHPjZSy,Jebroer;Outsiders,Kogels,Kogels,0.525,0.902,-4.322,0.243,0.169,5.41e-06,0.358,0.178,95.013,0.158303,0.862934,0.659461,0.556690,0.943850,0.211229,0.238470,0.820808
3ZCEIOkxevFmYRxdSIwBPc,The Chemical Brothers,Brotherhood,Electronic Battle Weapon 1,0.751,0.904,-4.76,0.155,0.00124,0.822,0.0707,0.275,128.989,0.142899,0.938771,0.763074,0.380827,0.913204,0.128399,0.616650,0.845544
0OzpSEZ5rwwAu1JC2zRAvb,Spiritbox,Eternal Blue,Secret Garden,0.368,0.922,-3.819,0.0923,8.79e-05,0.000262,0.173,0.317,140.492,0.046165,0.841831,0.726113,0.415004,0.842079,0.211689,0.238998,0.785793
3B6c6S2aPsIe0T0MIPJ1S8,Polish Club,Iguana,We Don't Care,0.426,0.939,-4.023,0.159,0.000639,0.0,0.314,0.337,172.051,0.076283,0.959016,0.715045,0.357399,0.968397,0.086163,0.291197,0.814138
5E8Q6eXY1EGAnf9a8vF8eT,Massano,In My System EP,System,0.742,0.657,-9.708,0.0508,0.00143,0.863,0.0873,0.0385,122.005,0.285449,0.919256,0.724339,0.790809,0.922295,0.169105,0.764400,0.645028
1kIlUyCy5HJOZrm4fap6Yq,Spinning Jennies,Det våras för Werther,Hon bor i Hammarbyhöjden,0.58,0.565,-6.117,0.0303,0.3,0.0,0.26,0.915,148.994,0.206476,0.767507,0.842392,0.181240,0.417159,0.456844,0.609627,0.764641
0IudGhdeJZwJ0Ps6ndtQDt,Vishal-Shekhar;Udit Narayan;Mahalakshmi Iyer;Kausar Munir,Tashan,Falak Tak,0.718,0.697,-6.474,0.135,0.634,1.53e-05,0.0563,0.62,143.907,0.500090,0.912871,0.733058,0.630740,0.773458,0.414905,0.527230,0.784570
2oXkMfwSrpdhQ0mn34NzRT,Passion;Kristian Stanfill,Whole Heart (Live),More Like Jesus - Live,0.405,0.678,-5.448,0.0352,0.0298,0.0,0.367,0.177,144.075,0.074394,0.609039,0.430848,0.568570,0.952200,0.139612,0.201066,0.729265
6GzCkTddOn1vSln1gbSr8y,AC/DC,Iron Man 2,Shoot to Thrill,0.453,0.897,-5.376,0.0705,0.000358,0.0956,0.365,0.492,141.167,0.084018,0.845757,0.841675,0.192588,0.811830,0.090626,0.364678,0.898769
3ndmbKBtuoU7B7zZnSvBGV,Tony O'Connor,Dreamtime,Nature's Lullaby,0.361,0.0545,-22.51,0.0436,0.979,0.904,0.1,0.0635,119.777,0.913581,0.308495,0.083133,0.984693,0.408547,0.802237,0.986583,0.131087
4tifWCOacnfT3xbQr06UQ0,Jürgen Drews;Ben Zucker,Best Of Karneval,Ein Bett im Kornfeld,0.641,0.928,-3.882,0.0506,0.0345,0.0,0.144,0.839,117.981,0.080394,0.853466,0.807259,0.043533,0.706482,0.232248,0.482364,0.837999
7DKNcWFgJiy4CZ377CZc1f,Ray Peterson,Presenting Ray Peterson,Tell Laura I Love Her,0.508,0.475,-8.436,0.032,0.758,0.0,0.132,0.235,102.38,0.592547,0.600938,0.228790,0.698189,0.660542,0.450798,0.695811,0.676106
6G45Qr6vVxnHxX06qcGEp2,Gabi Sampaio;Nívea Soares,Teu Toque (Ao Vivo),Teu Toque - Ao Vivo,0.435,0.612,-6.696,0.0393,0.601,1.01e-06,0.126,0.226,135.863,0.556997,0.757379,0.290710,0.915551,0.912384,0.394483,0.578559,0.502059
3P4Vcz7MhJngRf8WUAaoA0,Rotting Christ,Kata Ton Daimona Eaytoy (Do What Thou Wilt),Χ Ξ Σ - 666,0.39,0.758,-6.329,0.0312,0.00114,0.829,0.0978,0.0993,84.003,0.112988,0.734105,0.243882,0.521069,0.938026,0.091187,0.757131,0.550636
6qxqttcwmFodaFyhaCvIiT,Chuck Berry,Weihnachtslieder 2022,Run Rudolph Run,0.647,0.876,-5.662,0.185,0.881,3.59e-05,0.26,0.949,151.925,0.499222,0.904066,0.859357,0.337991,0.527792,0.720876,0.569848,0.880427
5oLrJ9cTOkFWy9KMBUVfUW,David Guetta;Bebe Rexha;Ty Dolla $ign;A Boogie Wit da Hoodie,Trending Pop,Family,0.687,0.717,-6.61,0.0755,0.0744,0.0,0.134,0.685,88.063,0.346990,0.741947,0.901885,0.134190,0.807458,0.254101,0.340778,0.707416
55MCIV8vcsHVz2ECaveJpT,Zarobi,Dreams of the Milky Way,Dreams of the Milky Way,0.22,0.0174,-31.847,0.0608,0.983,0.806,0.0825,0.0717,66.403,0.985274,0.147333,0.053561,0.981999,0.486851,0.896166,0.975579,0.107599
4yffABDkB5A9flvr9vQFck,The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),Howlin' for You,0.725,0.747,-5.545,0.0876,0.0272,0.0468,0.104,0.38,132.921,0.103564,0.927873,0.789046,0.274182,0.968583,0.116586,0.530898,0.898459
2gRSdWB9valGthX00IwQCv,Aphrodite,Aphro Classics 2,Lava Flow,0.635,0.984,-1.497,0.0708,0.000586,0.878,0.143,0.49,173.998,0.063462,0.943657,0.823477,0.104254,0.909963,0.113536,0.895698,0.941665
3MYtRN7kbtlNMNtGXCcQHh,Emre Nalbantoğlu,Derdi Neydi?,Sen nerden çıktın?,0.377,0.701,-6.36,0.0773,0.0796,2.29e-05,0.089,0.539,137.995,0.133107,0.758852,0.738548,0.170087,0.933112,0.262413,0.267415,0.779045
3Trk97TnEvpYk1iIcR3GRq,Nucleya;Julius Sylvest;Gagan Mudgal,Bass Rani,Mumbai Dance,0.655,0.892,-5.792,0.0771,0.0202,0.0917,0.321,0.486,97.01,0.135144,0.868929,0.909207,0.117401,0.918046,0.293701,0.404378,0.793945
5eAymAmVU6CyejjFJxvcMI,Marshall Jefferson,Frankie Knuckles Presents: His Greatest Hits from Trax Records,Move Your Body,0.785,0.907,-4.15,0.118,0.0156,1.14e-06,0.513,0.565,122.311,0.129343,0.932761,0.822017,0.082981,0.853645,0.218750,0.161309,0.869989
3LwU6R57IykpJiB5a4wD2j,Carajo,Inmundo,El Que Ama Lo Que Hace,0.464,0.99,-2.614,0.0884,0.00261,0.0,0.307,0.558,160.03,0.060016,0.929169,0.819275,0.178233,0.915337,0.067619,0.249808,0.809053
4R8cBLCm1FG3cdEtLLXBl1,Georges Brassens,Georges Brassens interprète ses dernières compositions N°2,Il n'y a pas d'amour heureux,0.634,0.0901,-16.02,0.0748,0.954,6.16e-06,0.12,0.513,81.056,0.945297,0.294333,0.331831,0.889587,0.299469,0.904211,0.731036,0.216255
7gM2ZGaYpySUaj4wuM9Z5N,War Angel,Symphony of the War,Final Extreme,0.412,0.866,-5.441,0.0491,3.5e-06,0.0109,0.0965,0.21,179.854,0.040760,0.939933,0.562942,0.581845,0.979378,0.133053,0.173699,0.864333
177jHmS4lU3rQ0ChQgnJNg,NWYR;W&W,S1R1,S1R1,0.669,0.856,-6.673,0.12,0.0134,0.199,0.274,0.335,124.041,0.160259,0.898492,0.732274,0.344998,0.892715,0.194525,0.331989,0.833378
6W6sLE6lR8WXMzGBFCtVUv,Giorgia Angiuli,You Inspire Me,You Inspire Me,0.554,0.876,-6.619,0.0359,0.0193,0.858,0.805,0.0744,128.974,0.080078,0.914041,0.514798,0.427737,0.967723,0.137096,0.798153,0.831863
1zI8C6f7LURY0eD0gMuVVY,Misfits,Halloween Songs | Witches Hour,Halloween,0.382,0.937,-9.01,0.0758,0.0172,0.0,0.271,0.0957,108.729,0.112697,0.722369,0.357682,0.335331,0.941635,0.106855,0.418070,0.742159
2cytBOLpwFRX7J9URCrFIe,NSG;Tion Wayne,Options,Options,0.836,0.621,-4.685,0.0892,0.387,9.16e-05,0.104,0.762,101.995,0.143355,0.877061,0.847623,0.324810,0.786700,0.445381,0.622033,0.596676
0fNjlceNOHc5q5oaOfmhFR,Scooter,20 Years of Hardcore (Remastered),Shake That!,0.56,0.967,-5.115,0.079,0.000302,0.186,0.365,0.619,130.044,0.075581,0.843692,0.825129,0.094094,0.797889,0.126355,0.211435,0.942773
218Lp0xnU9Fq10hlbBpkMe,Charly Lownoise & Mental Theo,The Best Of Charly Lownoise & Mental Theo,Verrotted - Original Mix,0.592,0.907,-5.627,0.214,0.00119,0.577,0.352,0.551,179.8,0.103487,0.969178,0.905626,0.158351,0.861856,0.096523,0.624481,0.874451
2dodOQN1L3h2RUJwSEC3kE,The Upbeats,We Don't Lie,We Don't Lie,0.661,0.913,-1.29,0.061,0.000362,0.308,0.0434,0.313,175.109,0.038029,0.913794,0.588776,0.321225,0.928375,0.073393,0.648630,0.935010
1EBo9H6NjVeZRAlXcXLYq8,Jhayco,Esto No Se Le Dedica A Cualquiera,Me Extraña,0.755,0.767,-3.754,0.106,0.0176,0.0,0.143,0.232,156.001,0.057696,0.905728,0.703974,0.327680,0.951356,0.102607,0.459785,0.880182
2XzRnzuIgpZGqco2rMTQbS,Paulo Pires,Chamar de Namorada (Ao Vivo),Chamar de Namorada - Ao Vivo,0.728,0.827,-3.509,0.0485,0.1,0.0,0.735,0.723,114.887,0.203541,0.914777,0.915987,0.079330,0.911750,0.333503,0.313133,0.893035
31jdflvTFQhJ4zmMJNTgl7,Bobby Day,The Rockin' Adventures of Bobby Day,Little Bitty Pretty One,0.803,0.467,-10.171,0.0752,0.789,0.28,0.0565,0.935,85.731,0.765540,0.738029,0.920685,0.423058,0.292571,0.671043,0.718090,0.772484
5RubKOuDoPn5Kj5TLVxSxY,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,TE MUDASTE,0.811,0.637,-4.835,0.0591,0.234,0.000572,0.118,0.471,92.025,0.149753,0.856566,0.790279,0.390940,0.920374,0.308005,0.662213,0.864171
4JH85NNtJViZNr4QZpjxVf,GIT,Rock x siempre,Todo El Mundo Va Bailando Así,0.692,0.441,-8.438,0.0472,0.205,0.000245,0.1,0.586,80.071,0.741087,0.816695,0.754494,0.424668,0.847159,0.481616,0.582610,0.251162
5pqLVH7nAvrTO9W4VIWI18,Marquinhos Gomes,Senhor da Terra,Senhor da Terra,0.406,0.764,-6.49,0.0398,0.151,0.0,0.378,0.349,77.546,0.135803,0.753249,0.538300,0.531135,0.889640,0.357531,0.394149,0.717920
7Em0lueWaMfJ4MWMDdSGNt,Yuvan Shankar Raja;Sid Sriram,Naane Varuvean,Pinju Pinju Mazhai,0.746,0.649,-10.096,0.0327,0.587,1.23e-05,0.134,0.654,104.984,0.658097,0.692355,0.901113,0.400109,0.403445,0.440116,0.675239,0.699242
0nqOcrAskzhTDBvGpOxNrD,Martin Garrix,Animals,Animals - Radio Edit,0.593,0.914,-5.351,0.0363,0.00137,0.445,0.0714,0.0381,128.015,0.142405,0.927409,0.423638,0.593232,0.969816,0.052064,0.749658,0.858824
